Generated by, Teller One
Opening balance for 13 May 2026 to 14 May 2026,"PHP -2,511.90"
Closing balance for 13 May 2026 to 14 May 2026,"PHP 7,495.10"

"Transaction ID","Transaction Type","Date & Time","Debit Account Name","Debit Account Number","Credit Account Name","Credit Account Number","Transaction Amount","Service Fee Amount","Total Amount","Status"
"txn_186781c7ad99459b9ea922e5ff172d25","External Transfer","2026/05/14 16:29:36","Paulo Miguel Navarro","=""7710737754140432""","Jocelyn Amban","=""7710935377438751""","-1.00","15.00","-16.00","Failed"
"txn_dd4b9f7ee554456a97c823bb662ff663","External Transfer","2026/05/14 16:27:19","Paulo Miguel Navarro","=""7710737754140432""","John Doe","=""101400001643""","-1.00","15.00","-16.00","Failed"
"txn_b2937249f2f44a17b67628ad9d94d916","External Transfer","2026/05/14 16:25:23","Paulo Miguel Navarro","=""7710737754140432""","John Doe","=""101400001643""","-1.00","15.00","-16.00","Success"
"txn_abde88304abc45129033bafb7516e998","Internal Transfer","2026/05/14 16:24:41","Paulo Miguel Navarro","=""7710737754140432""","John Vergil Flores Aparri","=""7710794016092030""","1.00","0.00","1.00","Success"
"txn_0873fe06200746ea8a089f4e7f2aea34","Internal Transfer","2026/05/14 16:23:00","Paulo Miguel Navarro","=""7710737754140432""","John Vergil Flores Aparri","=""7710794016092030""","1.00","0.00","1.00","Success"
"txn_9c5ee6e3ceaf47d4b95ef37035f503c4","External Transfer","2026/05/14 16:07:50","Paulo Miguel Navarro","=""7710737754140432""","Jocelyn Amban","=""7710935377438751""","-1.00","15.00","-16.00","Failed"
"txn_956498ff55da4a6cbf1267d4aa5e4b3b","Internal Transfer","2026/05/14 16:07:42","Jake Solomon","=""7710773946310615""","Paulo Miguel Navarro","=""7710737754140432""","10.00","0.00","10.00","Success"
"txn_7b87c7f581344d6d88b00981b08c2a6b","External Transfer","2026/05/14 16:06:54","Paulo Miguel Navarro","=""7710737754140432""","John Doe","=""101400001643""","-1.00","15.00","-16.00","Success"
"txn_f3fac23b9a7d40d68d2e308b5e4abca1","External Transfer","2026/05/14 16:04:42","Paulo Miguel Navarro","=""7710737754140432""","John Doe","=""101400001643""","-1.00","15.00","-16.00","Success"
"txn_e25085774ddf44248972295de2c50668","Internal Transfer","2026/05/14 16:03:55","Paulo Miguel Navarro","=""7710737754140432""","John Vergil Flores Aparri","=""7710794016092030""","1.00","0.00","1.00","Success"
"txn_47f4e14724074ed38f959f9e3e9a2893","Internal Transfer","2026/05/14 16:02:02","Paulo Miguel Navarro","=""7710737754140432""","John Vergil Flores Aparri","=""7710794016092030""","1.00","0.00","1.00","Success"
"txn_064bf713cf7b4821a7e5beff9052dbf0","Cash Deposit","2026/05/14 15:59:38","N/A","N/A","Jake Solomon","=""7710773946310615""","5,000.00","0.00","5,000.00","Success"
"txn_fc3a4ea6374b46b39c3070363162d523","Internal Transfer","2026/05/14 15:40:12","Monica Geller","=""7710737579366001""","Lena Moretti","=""7710744278473292""","100.00","0.00","100.00","Success"
"txn_d5c60322aa964eb3a2359420e6e8676d","Internal Transfer","2026/05/14 15:39:33","Monica Geller","=""7710737579366001""","Lena Moretti","=""7710744278473292""","40.00","0.00","40.00","Success"
"txn_c81cb7d51e4c407e9144c741cbe33633","External Transfer","2026/05/14 15:37:05","Lena Moretti","=""7710744278473292""","Peach Villados","=""7710327656473864""","-1.00","15.00","-16.00","Success"
"txn_7c83447cbdd14905aca420c3839d856f","External Transfer","2026/05/14 15:36:05","Lena Moretti","=""7710744278473292""","John Doe","=""101400001643""","-1.00","15.00","-16.00","Success"
"txn_a4c39b22f0aa404f894916e0692c548b","Internal Transfer","2026/05/14 15:33:48","Monica Geller","=""7710737579366001""","Lena Moretti","=""7710744278473292""","120.00","0.00","120.00","Success"
"txn_4e652c709b434930945ac1a89a468ed6","Cash Deposit","2026/05/14 15:23:57","N/A","N/A","Monica Geller","=""7710737579366001""","5,000.00","0.00","5,000.00","Success"
"txn_cf7055944f9f4bdf9c66147a0cdc3d76","External Transfer","2026/05/14 15:17:37","Lena Moretti","=""7710744278473292""","Peach Villados","=""7710327656473864""","-1.00","15.00","-16.00","Success"
"txn_dfec0a832882446d8e556c77b7c94078","External Transfer","2026/05/14 15:13:42","Katherine Johnson","=""7710911403475704""","Paulo Miguel Navarro","=""7710737754140432""","1.00","0.00","1.00","Failed"
"txn_fc9439ef51e04bcfb94357cf79422fe7","External Transfer","2026/05/14 15:05:25","Peach Villados","=""7710327656473864""","Lena Moretti","=""7710744278473292""","1.00","0.00","1.00","Success"
"txn_ea471a0dcc78417da4b1e44ca905963c","External Transfer","2026/05/14 13:16:55","Katherine Johnson","=""7710911403475704""","Paulo Miguel Navarro","=""7710737754140432""","1.00","0.00","1.00","Success"
"txn_348335c0963047efb4bb0148548f8245","External Transfer","2026/05/14 12:42:35","Katherine Johnson","=""7710911403475704""","Paulo Miguel Navarro","=""7710737754140432""","1.00","0.00","1.00","Success"
"txn_d34f0d2121624376b1592e1efa6ce8ce","External Transfer","2026/05/13 11:10:26","Luiz Habol","=""7710393247899088""","Paulo Miguel Navarro","=""7710737754140432""","10.00","0.00","10.00","Success"
